case_id,country,age,sex,agreeable_score,extraversion_score,openness_score,conscientiousness_score,neuroticism_score
73101,USA,45,2,0.986666666666667,0.636666666666667,0.77,0.82,0.623333333333333
151197,USA,30,2,0.976666666666667,0.706666666666667,0.723333333333333,0.9,0.44
243821,USA,15,2,0.976666666666667,0.58,0.856666666666667,0.656666666666667,0.623333333333333
256723,USA,18,2,0.976666666666667,0.686666666666667,0.716666666666667,0.806666666666667,0.563333333333333
47947,USA,40,2,0.973333333333333,0.69,0.693333333333333,0.916666666666667,0.57
50776,USA,46,2,0.97,0.73,0.94,0.766666666666667,0.423333333333333
79296,USA,20,1,0.966666666666667,0.69,0.826666666666667,0.726666666666667,0.593333333333333
47130,USA,27,2,0.963333333333333,0.66,0.763333333333333,0.79,0.636666666666667
55573,USA,44,2,0.963333333333333,0.66,0.643333333333333,0.846666666666667,0.52
184802,USA,15,2,0.963333333333333,0.483333333333333,0.783333333333333,0.786666666666667,0.503333333333333
137452,USA,42,2,0.96,0.773333333333333,0.813333333333333,0.846666666666667,0.376666666666667
253209,USA,24,2,0.96,0.616666666666667,0.85,0.77,0.326666666666667
281872,USA,42,1,0.96,0.92,0.8,0.97,0.283333333333333
716,USA,18,2,0.956666666666667,0.653333333333333,0.783333333333333,0.526666666666667,0.643333333333333
138166,USA,22,2,0.956666666666667,0.453333333333333,0.756666666666667,0.83,0.656666666666667
143543,USA,45,2,0.956666666666667,0.583333333333333,0.893333333333333,0.703333333333333,0.363333333333333
159779,USA,34,2,0.956666666666667,0.653333333333333,0.853333333333333,0.786666666666667,0.486666666666667
226259,USA,28,1,0.956666666666667,0.53,0.666666666666667,0.703333333333333,0.523333333333333
281948,USA,24,2,0.956666666666667,0.606666666666667,0.836666666666667,0.946666666666667,0.436666666666667
17226,USA,26,2,0.953333333333333,0.636666666666667,0.853333333333333,0.803333333333333,0.616666666666667
